ID_CURSO_INFORME_NK,ID_CURSO_MATRICULA_NK,ID_PERSONA_NIP_NK,ID_CENTRO_NK,ID_PLAN_ESTUDIO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_DEDICACION_ALUMNO_NK,FLG_NUEVO_INGRESO,FLG_EN_PROGRAMA_MOVILIDAD,FECHA_LECTURA_TESIS,SN_COTUTELA_TESIS,SN_MENCION_INTERNAC_TESIS,FECHA_MATRICULA,ID_ASIGNATURA_NK,CALIFICACION,FLG_SUPERADA,FLG_PRESENTADA,FLG_RECONOCIDA,FLG_TRANSFERIDA,FLG_SUSPENDIDA,FECHA_CALIFICACION,ID_PROFESOR_NIP_NK,ID_DEDICACION_PROFESOR_NK,FLG_TUTOR,FLG_DIRECTOR,FECHA_REFERENCIA,ID_CURSO_INFORME,ID_CURSO_MATRICULA,ID_ALUMNO,SEXO_ALUMNO,ID_PAIS_NACIONALIDAD_ALUMNO,ID_DEDICACION_ALUMNO,ID_PROFESOR,SEXO_PROFESOR,ID_PAIS_NACIONALIDAD_PROF,ID_PLAN_ESTUDIO,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_ASIGNATURA,ID_TIPO_ASIGNATURA,ID_CALIFICACION,FLG_SEXENIO_VIVO,ID_DEDICACION_PROFESOR,ID_FECHA_CARGA,ID_CENTRO,SN_NUEVO_INGRESO,SN_EN_PROGRAMA_MOVILIDAD,SN_TUTOR,SN_DIRECTOR,NUM_SEXENIOS,FLG_TIEMPO_PARCIAL,ID_PAIS_NACIONALIDAD_ALUMNO_NK,FLG_EXTRANJERO,ID_FECHA_LECTURA_TESIS,ID_FECHA_MATRICULA,FLG_PROFESOR,FLG_TESIS_LEIDA,NUM_DIRECTORES_TESIS,ID_ESTUDIO_NK,ID_TIPO_BECA_NK,ID_TIPO_BECA,ID_TIPO_CONTRATO_NK,FLG_PROFESOR_UZ,FLG_PROFESOR_TIEMPO_COMPLETO,FLG_COTUTELA_TESIS,FLG_MENCION_INTERNAC_TESIS,FLG_BECADO,SN_TESIS_LEIDA,FLG_ABANDONO,SN_ABANDONO,FLG_ABANDONO_DENOMINADOR,DURACION_NETA_TESIS,FLG_TESIS_CUM_LAUDE,SN_PROFESOR_UZ,ID_SITUACION_ADVA,TOT_ARTICULOS_INDEX_UZ,NUMERO_ALU_ENCUESTA_GLOBAL_0,SN_MENCION_INDUSTRIAL,FLG_COMPENDIO_PUBLICACIONES,NUM_ART_IDX_ANO_SIG_UZ,TOT_ARTICULOS_NO_INDEX_PLAN,NUM_ART_NO_IDX_ANO_SIG_UZ,FECHA_RECON_SEXENIO_ESTATAL,ID_PROYECTO_INVESTIGACION,ID_UNIVERSIDAD_ORIGEN,FECHA_RECON_SEXENIO_AUTONOMICO,NUM_QUINQUENIOS,FLG_MENCION_INDUSTRIAL,ID_CATEGORIA_CUERPO_ESCALA,NUM_ART_NO_IDX_ANO_CURSO_RAMA,FECHA_CARGA,NUM_ART_IDX_ANO_SIG_RAMA,NUM_SEXENIO_ESTATAL,FLG_SEXENIO_VIVO_CNEAI,ID_UNIVERSIDAD_ORIGEN_NK,NUMERO_PROF_ENCUESTA_GLOBAL_2,NUM_SEXENIO_AUTONOMICO,FECHA_DEPOSITO_TESIS,TOT_ARTICULOS_NO_INDEX_UZ,NUMERO_ALU_ENCUESTA_GLOBAL_2,NUMERO_ALU_ENCUESTA_GLOBAL_5,NUMERO_PROF_ENCUESTA_GLOBAL_4,TOT_ARTICULOS_INDEX_PLAN,FLG_SEXENIO_VIVO_ESTATAL,SN_COMPENDIO_PUBLICACIONES,NUMERO_PROF_ENCUESTA_GLOBAL_3,NUM_ART_NO_IDX_ANO_SIG_PLAN,FLG_SEXENIO_VIVO_AUTONOMICO,NUM_ART_IDX_ANO_CURSO_PLAN,AMBITO_PROYECTO,ID_SEXO_PROFESOR,NUM_ART_NO_IDX_ANO_CURSO_PLAN,TOT_ARTICULOS_INDEX_RAMA,NUM_ART_IDX_ANO_CURSO_RAMA,SN_PRORROGA_1,ID_SEXO_ALUMNO,FLG_OTRA_UNIVERSIDAD_DENOM,AUT_AMPLIACION_TESIS,DIAS_BAJA,NUMERO_ALU_ENCUESTA_GLOBAL_4,ID_CATEGORIA_CUERPO_ESCALA_NK,NUM_REGS_TESIS,ID_PROYECTO_INVESTIGACION_NK,NUMERO_ALU_ENCUESTA_GLOBAL_3,NUM_ART_NO_IDX_ANO_CURSO_UZ,NUM_ART_NO_IDX_ANO_SIG_RAMA,FECHA_INSCRI_SOLICITUD_TESIS,FECHA_RECON_SEXENIO_CNEAI,DURACION_BRUTA_TESIS,NUMERO_PROF_ENCUESTA_GLOBAL_1,SN_PRORROGA_2,NUM_SEXENIOS_TRANSF,FLG_OTRA_UNIVERSIDAD,NUMERO_ALU_ENCUESTA_GLOBAL_1,TOT_ARTICULOS_NO_INDEX_RAMA,NUMERO_PROF_ENCUESTA_GLOBAL_0,NUMERO_PROF_ENCUESTA_GLOBAL_5,NUM_ART_IDX_ANO_SIG_PLAN,NUM_SEXENIO_CNEAI,NUM_ART_IDX_ANO_CURSO_UZ,ID_SITUACION_ADVA_NK
2017,2021,70890196,3800,10084,1000024,PH,0,1,,S,S,2022-12-20,391,NT,1,1,1,1,0,2023-05-04,916723,AS,0,1,2025-06-03,20170,20210,56,H,23,3,1,H,94,84,43,6,391,4,4,1,3,20250603,38,N,S,N,S,5,1,GTM,1,0,20221220,1,0,1,4300,AU,65,CTR055695,1,0,1,1,0,N,1,S,1,0.0,1,S,2,356,125,N,1,494,513,972,2023-03-04,561,153,2023-08-19,244,1,369,80,2022-07-03,226,365,0,182,470,361,2020-12-25,605,143,228,360,82,1,S,229,516,0,626,Pariatur.,997,903,475,523,N,65,1,678,372,253,Quos.,184,In vero itaque ducimus deleniti.,595,893,43,2023-10-28,2021-05-10,546,959,S,475,0,141,831,995,371,529,61,875,EXC
2012,2011,92981826,2400,10086,1000025,PH,0,0,,N,S,2018-05-24,466,AN,0,0,0,0,0,,53143336,VI,0,0,2025-06-03,20120,20110,16,H,54,3,96,M,7,86,19,15,466,9,10,1,4,20250603,24,N,N,N,N,4,0,MRT,1,0,20180524,1,0,3,1900,AU,125,CTR089109,1,0,0,1,0,N,0,N,0,0.0,0,S,7,195,752,N,0,491,514,113,2023-01-23,625,417,2022-05-21,913,0,219,699,2022-05-12,419,838,1,585,346,398,2021-01-13,615,889,744,93,478,1,N,865,517,1,716,Amet.,210,751,396,971,N,137,0,58,802,437,Amet.,935,Quasi odit reprehenderit libero sequi.,947,905,836,2022-12-28,2022-03-01,648,562,S,446,1,489,939,967,647,561,459,154,SUS
2018,2011,94457890,600,10066,1000026,PH,0,1,,S,N,2022-03-14,17,SB,1,1,0,1,0,,78268756,TC,0,0,2025-06-03,20180,20110,57,H,39,3,77,H,67,66,22,2,17,6,5,0,1,20250603,6,N,S,N,N,2,0,HUN,1,0,20220314,1,0,1,2200,PD,33,CTR048652,1,0,1,0,1,N,0,N,0,0.0,1,S,4,216,24,N,1,319,351,673,2022-01-30,683,622,2021-10-18,514,0,49,705,2023-04-11,984,983,1,100,897,983,2023-10-22,697,140,186,30,411,0,N,61,464,0,356,Sapiente ea.,539,122,386,612,N,819,1,342,138,897,Id.,880,Assumenda facere iusto velit molestiae.,735,294,542,2023-11-24,2022-06-22,927,641,N,626,0,349,237,418,125,825,865,841,EXCS
2010,2020,63193474,2600,10094,1000027,TP,0,1,2023-01-04,N,S,2019-09-09,489,SB,1,1,1,0,0,,55813853,TC,1,1,2025-06-03,20100,20200,46,H,84,2,43,M,62,94,4,8,489,5,5,0,1,20250603,26,N,S,S,S,5,1,BWA,1,20230104,20190909,1,1,1,400,FP,81,CTR023766,1,0,0,1,0,S,0,N,0,1271.0,1,S,2,60,253,N,1,564,462,102,2022-10-02,400,264,2021-11-07,306,1,989,410,2022-03-05,694,629,0,852,145,882,2020-01-25,915,58,42,812,338,0,S,120,975,1,291,Accusamus.,53,844,814,479,N,380,0,298,578,459,A.,490,Nemo odit dolor maiores iure.,457,461,735,2021-11-23,2020-11-01,866,59,S,304,0,825,361,688,159,476,754,392,EXC
2014,2024,17927298,200,10017,1000028,TP,1,0,,S,S,2019-12-14,169,AN,0,0,0,1,0,,20560218,TC,0,0,2025-06-03,20140,20240,37,H,76,2,39,H,17,17,5,4,169,4,10,1,1,20250603,2,S,N,N,N,4,0,COM,1,0,20191214,1,0,2,500,PD,93,CTR030141,1,1,1,1,1,N,0,N,0,0.0,0,S,1,634,383,N,0,752,837,299,2022-09-03,669,721,2023-07-05,127,0,479,792,2022-04-14,289,313,0,56,200,833,2023-11-13,655,177,22,565,117,1,S,896,918,0,529,Hic culpa.,412,725,920,310,S,147,0,947,378,602,Enim.,861,In porro sapiente cum rem numquam voluptatum.,116,157,426,2023-07-05,2020-01-06,795,247,N,162,1,950,470,152,274,219,489,95,ACT
2021,2023,2921981,2700,10056,1000029,PH,1,0,2022-01-27,N,S,2021-09-06,366,AD,0,0,1,0,0,,10988446,OT,0,1,2025-06-03,20210,20230,95,M,23,3,53,M,76,56,41,9,366,10,8,1,5,20250603,27,S,N,N,S,6,0,GTM,1,20220127,20210906,1,1,1,4100,FP,71,CTR036345,1,1,0,1,0,S,1,S,1,809.0,1,S,6,679,299,S,0,867,570,725,2020-05-07,417,968,2020-02-24,410,0,698,95,2022-03-07,990,566,0,598,5,108,2021-09-11,332,797,257,304,842,0,S,755,307,0,106,Iure.,706,746,818,336,S,219,0,979,858,690,Nam.,272,Similique quas minus architecto.,463,921,313,2021-05-28,2020-07-04,601,61,N,269,1,206,362,971,752,857,750,87,EXCHI
2011,2018,8289024,1300,10004,1000030,PH,0,1,2021-10-12,N,S,2020-09-18,329,RE,0,0,0,1,0,2022-05-27,76866717,TC,1,1,2025-06-03,20110,20180,62,M,67,3,66,M,6,4,32,4,329,2,9,0,1,20250603,13,N,S,S,S,2,1,SVN,1,20211012,20200918,1,1,3,3200,PD,133,CTR000027,1,1,0,1,0,S,1,S,1,669.0,0,S,6,86,293,S,0,615,53,533,2022-07-08,853,312,2021-03-14,897,1,220,637,2023-12-17,922,250,0,222,661,574,2021-01-15,594,324,382,950,451,0,N,668,612,1,243,Neque labore.,227,141,251,153,N,970,0,200,469,615,Quia.,998,Exercitationem aliquid sint quasi.,175,824,413,2021-10-21,2023-08-12,293,885,S,256,0,159,854,152,262,223,16,771,EXCHI
2010,2010,54414096,3100,10090,1000031,CR,0,1,,S,N,2019-07-24,107,NP,0,0,1,1,0,2023-04-10,92981826,TP,1,0,2025-06-03,20100,20100,24,H,79,4,16,H,27,90,49,12,107,7,1,1,2,20250603,31,N,S,S,N,1,0,NAM,1,0,20190724,1,0,2,4900,PD,13,CTR042858,1,0,1,0,1,N,0,N,0,0.0,1,S,5,985,646,N,1,519,321,443,2021-07-23,962,694,2022-10-27,305,1,687,728,2023-08-05,88,724,0,134,837,179,2020-12-14,744,986,59,908,847,1,S,41,556,1,152,Libero modi.,574,597,960,159,N,797,0,865,996,362,At.,134,Quam quidem asperiores ea id maxime porro porro.,641,540,987,2023-09-02,2021-08-20,664,497,S,956,1,415,930,101,567,521,319,360,EXCFC
2011,2012,41361818,4700,10005,1000032,PH,1,0,2021-11-25,N,S,2022-04-28,470,AD,0,0,1,0,0,,54414096,OT,0,1,2025-06-03,20110,20120,93,H,96,3,24,H,10,5,41,12,470,6,8,1,5,20250603,47,S,N,N,S,3,1,SVK,1,20211125,20220428,1,1,3,4100,FP,11,CTR060244,1,1,0,1,0,S,1,S,1,1107.0,0,S,6,188,258,S,1,700,693,323,2022-11-01,815,148,2021-12-16,305,0,851,411,2023-07-25,523,6,0,501,924,1000,2023-05-27,57,565,211,553,474,1,S,40,817,1,705,Accusamus.,999,342,200,185,S,758,1,364,474,367,Illo.,414,Error eius error ullam dolore.,684,638,883,2022-08-11,2022-04-22,840,241,S,940,1,526,416,280,185,499,884,69,EXCHI
2024,2017,70890196,4100,10097,1000033,TC,1,0,2021-02-20,N,S,2022-12-23,442,AD,0,0,0,1,0,,68501420,VI,0,0,2025-06-03,20240,20170,56,H,42,1,80,H,2,97,46,3,442,9,8,0,4,20250603,41,S,N,N,N,4,0,SWE,1,20210220,20221223,1,1,3,4600,FP,1,CTR053749,1,1,0,1,1,S,1,S,1,1316.0,1,S,7,665,336,N,0,114,389,668,2021-04-07,248,620,2020-09-01,908,1,226,841,2023-05-05,403,416,1,105,82,936,2023-06-21,130,681,129,483,313,1,S,71,619,1,295,Alias natus.,106,358,137,699,N,981,0,769,735,908,Quis.,555,Excepturi natus quis fuga quam quo.,515,872,177,2020-11-11,2021-09-07,899,957,N,843,0,35,473,887,156,151,734,39,SUS
2024,2012,90297353,3500,10044,1000034,TP,0,0,,N,S,2022-02-22,443,NT,1,1,0,1,0,,92083242,AS,0,0,2025-06-03,20240,20120,92,H,62,2,25,H,99,44,7,9,443,6,4,1,3,20250603,35,N,N,N,N,2,1,DMA,1,0,20220222,1,0,3,700,IN,67,CTR044755,1,1,0,1,0,N,0,N,0,0.0,1,S,10,468,20,N,0,259,813,179,2021-11-23,6,804,2021-08-20,712,0,996,440,2020-07-24,816,234,1,648,631,877,2020-12-02,388,837,43,501,24,1,S,603,973,1,655,Beatae.,89,781,40,795,S,126,1,330,214,567,Quas.,49,Repellat dignissimos voluptas porro.,661,994,873,2020-11-02,2023-10-09,130,233,N,803,0,498,854,49,225,374,289,528,BAJ
2011,2016,27133023,3900,10025,1000035,CR,0,0,2021-11-23,N,S,2021-10-12,80,AP,1,1,1,1,0,2020-04-09,10988446,VI,1,0,2025-06-03,20110,20160,65,M,20,4,53,M,53,25,27,2,80,5,3,0,4,20250603,39,N,N,S,N,0,1,TGO,1,20211123,20211012,1,1,3,2700,FI,92,CTR031116,1,0,0,1,1,S,0,N,0,1102.0,0,S,1,7,495,S,0,125,636,407,2021-06-02,817,263,2023-03-20,61,1,393,30,2021-11-11,77,327,0,24,973,314,2023-02-09,777,746,671,957,225,1,S,532,430,0,272,Culpa eos.,706,697,886,496,S,312,0,780,790,613,Quod.,40,Consectetur quidem aut aliquid dignissimos.,705,400,208,2021-08-18,2022-06-15,374,597,N,156,0,701,73,847,188,938,674,195,ACT
2018,2016,94429826,2100,10028,1000036,PH,1,1,2020-05-22,N,S,2022-03-08,471,NT,1,1,1,0,0,2022-11-14,78176558,AS,0,0,2025-06-03,20180,20160,27,M,58,3,9,H,50,28,23,13,471,5,4,0,3,20250603,21,S,S,N,N,6,1,BGR,1,20200522,20220308,1,1,3,2300,AU,135,CTR009182,1,1,0,1,0,S,1,S,1,1067.0,1,S,1,922,433,S,1,665,343,442,2023-04-11,599,844,2022-07-17,769,1,292,499,2022-10-05,768,75,1,662,612,261,2023-09-11,620,449,287,774,401,0,S,846,469,1,970,Alias.,510,629,873,314,S,270,0,791,216,507,A.,703,Nisi repellendus distinctio quas.,145,834,6,2023-10-25,2020-08-13,661,261,S,379,1,250,310,310,197,799,66,189,ACT
2014,2022,41738753,4600,10002,1000037,PH,1,1,,N,N,2020-02-02,366,AP,1,1,1,1,0,2020-10-12,8289024,TP,1,1,2025-06-03,20140,20220,28,M,77,3,62,M,86,2,46,2,366,7,3,0,2,20250603,46,S,S,S,S,0,0,NGA,1,0,20200202,1,0,2,4600,PD,43,CTR071119,1,0,0,0,1,N,0,N,0,0.0,0,S,8,123,721,N,0,601,62,473,2022-01-20,599,202,2021-12-23,595,1,577,995,2022-09-19,956,899,0,907,405,710,2022-02-23,649,558,679,957,158,1,S,18,892,1,403,Doloribus.,591,626,944,789,N,184,0,287,615,185,Id.,366,Nobis officiis illum laudantium.,88,610,716,2023-10-18,2022-07-13,701,256,S,246,0,804,939,684,980,307,390,395,COM
2014,2010,20560218,2900,10021,1000038,TC,0,1,,N,S,2020-07-08,248,RE,0,0,1,0,0,2020-11-25,15759274,OT,1,0,2025-06-03,20140,20100,39,H,6,1,30,M,30,21,4,9,248,7,9,0,5,20250603,29,N,S,S,N,0,1,UKR,1,0,20200708,1,0,3,400,FI,12,CTR015514,1,1,0,1,0,N,1,S,1,0.0,0,S,1,29,907,S,1,927,250,800,2023-05-25,987,138,2022-06-22,882,0,996,880,2023-07-11,61,677,0,326,359,707,2022-10-27,51,448,511,363,666,0,S,864,123,1,40,Excepturi.,148,117,313,316,N,327,1,290,621,616,Quia.,887,Nisi porro exercitationem cumque cum esse.,427,298,284,2022-08-07,2023-02-02,859,743,N,488,1,154,50,4,569,23,861,383,ACT
2014,2014,49330907,1200,10092,1000039,CR,1,1,2020-09-26,S,N,2019-04-26,326,MH,0,0,0,0,0,,78176558,TC,0,1,2025-06-03,20140,20140,33,H,91,4,9,H,75,92,46,14,326,2,6,1,1,20250603,12,S,S,N,S,0,1,QAT,1,20200926,20190426,1,1,1,4600,PR,96,CTR098380,1,1,1,0,1,S,0,N,0,1028.0,1,S,1,19,985,S,1,365,549,640,2021-01-08,368,284,2022-06-19,157,1,187,219,2020-12-23,95,334,0,690,136,148,2022-10-26,308,887,168,564,265,1,S,550,400,1,407,At nesciunt.,78,878,33,480,N,694,1,981,10,631,Sint.,416,Voluptatibus voluptatum eum veniam.,532,778,621,2021-06-25,2022-12-03,274,994,S,794,0,723,385,709,410,679,797,899,ACT
2017,2011,75721444,200,10094,1000040,TC,1,1,,N,N,2019-07-01,265,SS,0,1,0,0,1,2021-01-12,87735896,OT,0,0,2025-06-03,20170,20110,60,M,49,1,14,M,44,94,28,9,265,6,2,0,5,20250603,2,S,S,N,N,2,0,BIH,1,0,20190701,1,0,3,2800,FP,141,CTR081999,1,0,0,0,0,N,0,N,0,0.0,0,S,2,502,701,N,1,285,232,537,2023-02-23,518,336,2020-07-27,195,0,331,206,2023-01-26,867,208,1,219,158,385,2020-06-01,346,664,871,517,568,0,N,419,519,0,950,Laudantium.,795,648,546,514,N,52,0,171,831,615,Sit.,55,Fuga inventore error maxime alias.,582,801,90,2021-10-09,2020-11-15,642,242,N,85,0,547,245,505,623,40,46,21,EXC
2018,2024,59959826,900,10012,1000041,PH,0,1,2023-02-12,N,S,2022-05-07,156,RE,0,0,0,0,0,2023-01-19,29410942,VI,1,0,2025-06-03,20180,20240,5,M,99,3,36,M,86,12,39,3,156,1,9,0,4,20250603,9,N,S,S,N,2,1,KWT,1,20230212,20220507,1,1,1,3900,IN,47,CTR052286,1,0,0,1,0,S,0,N,0,1492.0,0,S,1,154,502,S,1,850,229,804,2020-06-06,472,651,2023-01-09,608,0,351,705,2020-02-05,560,783,1,921,257,696,2022-06-20,94,266,246,474,158,1,N,596,284,0,975,Rerum.,138,845,522,580,S,785,1,756,874,33,Fuga.,423,Hic sapiente minima.,960,920,992,2020-01-08,2023-07-17,962,470,S,179,0,199,469,232,587,143,938,162,ACT
2019,2020,63193474,300,10006,1000042,PH,1,1,,N,S,2022-10-21,237,MH,0,0,1,1,0,,44241559,AS,0,1,2025-06-03,20190,20200,46,H,99,3,7,M,68,6,25,3,237,2,6,1,3,20250603,3,S,S,N,S,6,0,KWT,1,0,20221021,1,0,2,2500,FI,12,CTR022184,1,0,0,1,1,N,1,S,1,0.0,0,S,5,38,215,S,1,944,998,382,2021-07-02,24,744,2022-03-30,658,1,821,740,2023-06-29,488,58,0,914,434,863,2020-07-20,437,42,484,906,871,0,S,631,536,0,472,Quod.,165,983,754,895,S,409,0,990,879,315,Amet.,812,Dignissimos officiis deserunt explicabo.,516,902,888,2021-05-07,2021-10-18,945,984,S,455,0,359,494,807,95,834,968,275,EXCFC
2013,2014,68501420,2600,10070,1000043,TC,0,0,,S,N,2019-12-21,498,AP,1,1,0,0,0,2021-10-09,92649206,OT,1,0,2025-06-03,20130,20140,80,H,71,1,29,H,25,70,26,7,498,1,3,1,5,20250603,26,N,N,S,N,2,0,LSO,1,0,20191221,1,0,3,2600,AU,145,CTR067350,1,0,1,0,1,N,1,S,1,0.0,0,S,10,22,415,S,1,857,508,124,2023-11-01,114,147,2021-03-27,254,1,100,476,2021-08-07,235,347,1,504,819,159,2022-01-02,318,777,988,960,823,1,S,816,468,1,662,Eaque atque.,80,58,556,379,N,442,0,319,1000,597,Nam.,304,Itaque aliquid debitis adipisci quos.,392,961,574,2022-04-01,2023-10-05,62,371,N,770,1,235,345,723,979,281,802,88,BAJ
2024,2013,67447155,3100,10031,1000044,TP,1,1,2023-09-25,N,S,2019-03-21,401,CO,0,0,0,0,0,2022-04-16,35835371,OT,1,0,2025-06-03,20240,20130,26,H,7,2,6,H,98,31,23,13,401,2,7,0,5,20250603,31,S,S,S,N,1,1,AUT,1,20230925,20190321,1,1,1,2300,IN,137,CTR034942,1,0,0,1,1,S,0,N,0,893.0,1,S,10,334,251,S,1,196,673,541,2020-12-12,441,248,2020-05-25,980,1,476,170,2023-07-30,384,223,0,733,840,991,2022-06-05,579,67,687,312,446,1,N,80,145,1,793,Placeat et.,17,748,539,869,N,603,1,683,236,666,Quia.,499,Aliquam culpa porro cupiditate quis.,223,968,146,2020-07-03,2020-10-24,273,883,N,328,1,420,513,546,949,763,846,865,BAJ
2023,2022,1534878,4900,10048,1000045,TP,0,0,2020-05-18,S,S,2020-04-27,264,SB,1,1,0,0,0,2022-04-13,15060409,AS,0,1,2025-06-03,20230,20220,12,H,27,2,61,H,32,48,26,5,264,1,5,1,3,20250603,49,N,N,N,S,0,1,SLV,1,20200518,20200427,1,1,2,2600,IN,67,CTR073191,1,1,1,1,1,S,1,S,1,834.0,0,S,10,254,215,N,0,401,407,40,2020-09-25,512,491,2023-06-16,193,1,403,922,2022-10-27,943,466,0,816,476,525,2021-07-20,547,939,890,420,734,1,N,109,618,1,975,Corporis.,190,13,622,669,S,238,0,969,736,422,Et.,220,Sed sed suscipit itaque.,457,289,892,2020-05-01,2023-04-12,272,453,N,715,1,104,761,639,39,106,427,623,BAJ
2021,2013,50147077,5000,10052,1000046,TP,0,0,2021-09-13,S,N,2022-02-05,130,SS,0,1,0,1,1,2023-12-08,40526484,AS,0,1,2025-06-03,20210,20130,42,H,65,2,8,M,100,52,4,14,130,2,2,1,3,20250603,50,N,N,N,S,4,0,KOR,1,20210913,20220205,1,1,1,400,MC,104,CTR019226,1,1,1,0,1,S,1,S,1,902.0,1,S,7,179,886,S,0,626,662,551,2020-07-23,247,742,2020-09-20,964,0,612,911,2021-09-26,147,297,1,48,945,5,2022-02-06,316,638,412,545,498,0,S,446,706,0,404,Debitis.,169,460,891,656,S,47,0,414,95,444,Rem.,220,Dolore numquam aperiam harum ea.,363,121,408,2023-06-19,2022-04-17,447,8,N,184,1,334,526,841,234,49,604,528,SUS
2010,2014,31715995,1000,10040,1000047,PH,1,1,2020-04-10,N,S,2019-07-18,201,MH,0,0,1,0,0,2022-05-06,64180488,VI,0,0,2025-06-03,20100,20140,17,H,77,3,38,M,78,40,21,2,201,3,6,0,4,20250603,10,S,S,N,N,1,0,NGA,1,20200410,20190718,1,1,3,2100,PR,106,CTR014234,1,0,0,1,0,S,0,N,0,1388.0,1,S,10,905,230,N,1,671,312,905,2023-07-12,890,756,2022-04-15,96,1,384,17,2023-06-02,827,485,1,375,402,493,2023-07-07,893,245,551,985,795,1,N,377,67,1,92,Id magnam.,172,318,72,836,N,766,0,661,739,58,Rem.,644,Soluta nemo ad aliquam tempore quas.,236,352,59,2020-12-29,2020-08-30,568,788,S,722,1,951,650,33,50,805,401,322,BAJ
2017,2014,73717007,300,10044,1000048,SD,0,1,2021-08-05,N,S,2022-10-13,471,SS,0,1,1,1,1,,73504237,OT,0,0,2025-06-03,20170,20140,45,M,4,5,63,H,40,44,42,5,471,4,2,0,5,20250603,3,N,S,N,N,1,1,CUB,1,20210805,20221013,1,1,1,4200,AU,95,CTR003522,1,0,0,1,1,S,1,S,1,1069.0,0,S,5,526,434,S,0,908,752,843,2022-11-09,873,894,2020-07-08,805,0,948,873,2023-10-05,498,618,0,18,416,206,2022-04-06,551,27,489,830,404,1,N,160,612,0,905,Aspernatur.,277,246,691,655,N,159,0,255,608,821,Ex.,521,Odit ipsam et laboriosam magnam iste occaecati.,97,291,802,2023-07-13,2021-02-04,137,322,N,316,0,333,672,807,329,354,694,614,EXCFC
2022,2011,55757342,2600,10098,1000049,TP,1,0,2020-09-13,N,S,2018-03-01,181,RE,0,0,0,0,0,2023-07-18,31611127,TP,1,0,2025-06-03,20220,20110,86,H,16,2,4,H,5,98,39,3,181,5,9,0,2,20250603,26,S,N,S,N,4,0,BLR,1,20200913,20180301,1,1,1,3900,IN,77,CTR041029,1,1,0,1,0,S,0,N,0,756.0,0,S,8,600,158,N,0,205,872,692,2023-12-14,572,915,2022-02-06,509,1,331,651,2023-01-06,911,491,1,570,146,264,2021-11-13,30,568,234,271,100,1,N,576,215,0,400,Natus.,340,973,378,680,S,452,0,939,829,588,Ad.,761,Incidunt iste quod fuga.,529,938,666,2021-09-16,2020-01-06,984,749,N,158,1,930,183,291,630,423,829,469,COM
2010,2019,35105069,4000,10062,1000050,TC,1,1,,N,S,2018-12-19,40,AP,1,1,0,1,0,2022-10-20,29410942,OT,0,0,2025-06-03,20100,20190,13,M,13,1,36,M,99,62,9,10,40,6,3,0,5,20250603,40,S,S,N,N,0,1,MCO,1,0,20181219,1,0,2,900,FP,131,CTR050106,1,1,0,1,1,N,0,N,0,0.0,1,S,3,166,385,N,0,614,646,104,2022-11-15,849,181,2021-12-04,199,0,341,47,2021-09-06,530,796,0,229,322,18,2021-10-09,320,171,357,537,784,1,S,645,984,1,517,Earum.,125,70,634,60,S,867,1,828,880,872,Eius.,820,Illo maiores expedita harum voluptas dolores.,943,364,667,2023-02-04,2021-03-10,437,671,N,757,0,635,138,485,994,803,936,674,EXCF
2015,2010,59959826,800,10027,1000051,SD,0,0,2020-11-27,S,N,2018-11-18,153,MH,0,0,1,1,0,,31611127,OT,1,0,2025-06-03,20150,20100,5,M,66,5,4,H,86,27,24,9,153,3,6,0,5,20250603,8,N,N,S,N,3,0,CAF,1,20201127,20181118,1,1,1,2400,FP,31,CTR010417,1,1,1,0,1,S,0,N,0,1044.0,1,S,4,465,547,S,0,986,939,411,2022-10-09,568,72,2020-11-26,920,0,824,81,2021-04-03,279,249,1,135,3,257,2023-11-14,175,818,320,632,776,0,N,880,809,1,540,Facilis.,911,677,841,529,N,626,0,44,901,985,Ea.,968,Neque nostrum quo recusandae beatae repudiandae.,649,909,967,2022-11-02,2023-08-25,368,105,N,310,1,743,874,919,844,835,913,859,EXCS
2018,2012,78268756,3200,10045,1000052,SD,0,0,,S,N,2022-02-14,361,NP,0,0,0,1,0,,39599276,VI,1,1,2025-06-03,20180,20120,77,H,21,5,32,M,74,45,15,14,361,7,1,0,4,20250603,32,N,N,S,S,6,1,VNM,1,0,20220214,1,0,1,1500,MC,94,CTR080282,1,0,1,0,0,N,0,N,0,0.0,1,S,5,340,230,S,0,629,938,194,2022-12-25,552,995,2023-06-07,306,1,28,927,2020-02-15,953,313,1,726,1000,742,2023-12-31,463,727,365,92,369,0,N,423,394,0,561,Quas ipsam.,368,225,788,48,S,901,0,418,493,200,A.,909,Eligendi eius dolorem quos animi amet numquam.,952,988,485,2023-11-21,2023-01-01,877,143,S,220,1,670,240,759,50,230,227,421,EXCFC
