ID_CURSO_ACADEMICO_NK,ID_EXPEDIENTE_ACADEMICO_NK,ID_ALUMNO_NIP_NK,ID_CURSO_ACADEMICO,ID_EXPEDIENTE_ACADEMICO,ID_ALUMNO,ID_CENTRO,ID_PLAN_ESTUDIO,ID_TIPO_ESTUDIO,ID_UNIVERSIDAD_ORIGEN,ID_PAIS_UNIVERSIDAD_ORIGEN,ID_TUTOR,ID_RANGO_CRED_SUPERADOS,ID_FECHA_INICIO_ESTANCIA,ID_FECHA_FIN_ESTANCIA,ID_SEXO,ID_PAIS_NACIONALIDAD,EDAD,CREDITOS_SUPERA_DESTINO,DURACION_ESTANCIA,FECHA_CARGA,ID_PROGRAMA_MOVILIDAD_NK,ID_PROGRAMA_MOVILIDAD,ID_ESTUDIO,ID_RAMA_CONOCIMIENTO,ID_FECHA_CARGA,CREDITOS_MATRICULADOS,ID_CENTRO_NK,ID_CENTRO_IMPARTICION,ID_CENTRO_IMPARTICION_NK,ID_EDAD_EST,ID_PLAN_ESTUDIO_MAX
2010,200157,400157,20100,300157,500157,24,33,4,90,98,863,3,20220311,20230319,2,100,20,11,12,2022-07-25,40,4,5,1,20231030,36,2400,24,2400,6,47
2022,200158,400158,20220,300158,500158,49,62,9,87,44,629,4,20220316,20220328,1,90,20,2,0,2022-09-08,70,7,37,1,20220903,35,4900,49,4900,8,54
2023,200159,400159,20230,300159,500159,21,43,2,20,31,313,3,20211028,20230904,1,56,28,0,22,2023-01-21,10,1,16,1,20230123,22,2100,21,2100,9,23
2017,200160,400160,20170,300160,500160,13,85,2,13,69,1000,4,20211226,20230730,1,16,18,36,19,2022-01-06,80,8,47,5,20220807,53,1300,47,4700,2,47
2020,200161,400161,20200,300161,500161,35,44,8,69,86,13,2,20210310,20230420,1,100,26,32,25,2023-11-28,90,9,6,3,20220827,54,3500,35,3500,10,91
2018,200162,400162,20180,300162,500162,11,30,8,67,7,970,6,20211123,20220204,1,96,23,27,2,2023-12-07,90,9,25,2,20220628,50,1100,11,1100,2,53
2015,200163,400163,20150,300163,500163,33,91,9,9,93,931,1,20211003,20230728,2,54,29,6,22,2023-01-08,60,6,14,7,20230502,40,3300,33,3300,2,100
2023,200164,400164,20230,300164,500164,25,23,5,57,2,176,4,20221009,20230914,2,67,23,29,11,2022-01-09,40,4,8,1,20220312,36,2500,25,2500,2,100
2021,200165,400165,20210,300165,500165,35,27,7,83,68,900,2,20210111,20230916,1,38,24,8,32,2022-03-13,30,3,14,10,20220220,45,3500,13,1300,2,63
2016,200166,400166,20160,300166,500166,22,89,8,28,25,155,2,20220809,20231013,2,10,19,16,14,2022-12-02,70,7,8,6,20230817,51,2200,48,4800,4,34
2018,200167,400167,20180,300167,500167,10,80,9,92,32,748,6,20221227,20220911,2,93,25,30,-3,2023-05-10,90,9,19,9,20220805,37,1000,10,1000,4,63
2018,200168,400168,20180,300168,500168,35,80,6,71,61,812,7,20210522,20220529,1,34,22,10,12,2023-04-11,80,8,32,5,20231117,32,3500,38,3800,2,86
2010,200169,400169,20100,300169,500169,16,10,10,6,53,544,2,20220303,20231225,1,2,21,19,22,2023-04-09,90,9,29,6,20230310,52,1600,16,1600,5,37
2024,200170,400170,20240,300170,500170,37,78,7,27,2,352,3,20220706,20230713,2,83,19,49,12,2022-06-29,40,4,5,1,20220510,50,3700,37,3700,8,77
2015,200171,400171,20150,300171,500171,28,19,9,29,62,253,5,20210326,20230524,1,49,29,18,26,2022-07-08,60,6,17,10,20230731,27,2800,28,2800,2,97
2020,200172,400172,20200,300172,500172,48,25,10,74,67,747,6,20210617,20221003,1,70,25,2,15,2023-04-13,100,10,50,3,20231230,23,4800,48,4800,1,76
2010,200173,400173,20100,300173,500173,16,47,1,37,90,582,6,20220711,20230924,2,83,18,13,14,2023-08-14,100,10,39,3,20221108,39,1600,16,1600,6,17
2018,200174,400174,20180,300174,500174,15,95,1,33,43,405,6,20210319,20220912,2,82,30,20,18,2022-03-03,40,4,23,4,20220228,24,1500,36,3600,2,12
2015,200175,400175,20150,300175,500175,14,78,7,42,14,563,5,20211209,20220715,1,36,27,8,7,2023-06-30,30,3,24,2,20231201,11,1400,14,1400,2,2
2017,200176,400176,20170,300176,500176,40,93,1,100,48,619,4,20210128,20220424,1,89,27,48,15,2023-11-30,20,2,32,10,20220109,53,4000,40,4000,3,32
2022,200177,400177,20220,300177,500177,41,30,5,10,50,985,4,20211228,20220425,2,43,29,31,3,2023-07-14,40,4,43,6,20220724,60,4100,41,4100,7,30
2020,200178,400178,20200,300178,500178,32,5,6,9,78,141,2,20220119,20230505,2,61,26,8,15,2022-02-13,30,3,25,4,20230311,10,3200,32,3200,4,69
2019,200179,400179,20190,300179,500179,46,29,4,31,72,84,7,20221220,20220403,2,66,18,14,-8,2023-03-01,40,4,4,9,20220907,40,4600,46,4600,6,41
2014,200180,400180,20140,300180,500180,7,61,4,43,64,894,7,20220922,20220422,1,1,27,29,-5,2023-06-24,90,9,10,8,20230828,58,700,7,700,1,81
2012,200181,400181,20120,300181,500181,16,46,2,90,83,344,4,20220103,20231229,2,38,18,12,24,2022-07-01,50,5,26,7,20230703,34,1600,16,1600,9,78
2021,200182,400182,20210,300182,500182,8,4,3,12,84,457,6,20221125,20220604,2,67,20,13,-5,2023-12-06,80,8,19,10,20230203,50,800,16,1600,10,47
2022,200183,400183,20220,300183,500183,50,85,5,85,41,802,3,20210510,20230710,1,31,18,1,26,2023-12-18,90,9,13,10,20230211,10,5000,8,800,6,85
2017,200184,400184,20170,300184,500184,1,82,10,11,16,223,1,20210424,20221204,1,7,29,22,19,2022-03-31,80,8,35,3,20230725,25,100,1,100,8,17
2019,200185,400185,20190,300185,500185,47,51,10,41,63,370,6,20211121,20230723,1,4,25,1,20,2022-07-26,10,1,20,9,20221008,13,4700,4,400,1,36
2024,200186,400186,20240,300186,500186,23,14,9,44,23,502,5,20220917,20230716,2,47,20,40,10,2022-01-28,40,4,4,5,20220302,41,2300,23,2300,10,15
2019,200187,400187,20190,300187,500187,47,50,6,26,73,236,5,20220315,20231110,2,23,29,28,20,2023-07-14,60,6,20,3,20220514,40,4700,47,4700,7,24
2023,200188,400188,20230,300188,500188,6,99,8,1,40,566,7,20220916,20221229,2,39,24,15,3,2022-11-01,20,2,14,6,20230322,18,600,6,600,2,91
2015,200189,400189,20150,300189,500189,35,36,6,19,13,970,6,20211105,20230220,2,76,27,0,15,2023-05-28,80,8,31,7,20221214,40,3500,15,1500,3,54
2024,200190,400190,20240,300190,500190,48,18,8,25,15,108,3,20220319,20231012,1,29,22,23,19,2022-11-15,20,2,17,1,20230930,31,4800,48,4800,9,44
2018,200191,400191,20180,300191,500191,16,57,7,28,2,574,3,20220404,20230628,1,6,22,19,15,2023-01-03,100,10,42,8,20230205,47,1600,16,1600,9,1
2015,200192,400192,20150,300192,500192,30,98,10,32,69,812,5,20220707,20230831,2,78,28,3,14,2023-04-09,30,3,30,2,20230416,12,3000,30,3000,1,28
2020,200193,400193,20200,300193,500193,30,36,3,76,46,13,4,20211018,20220918,2,97,22,3,11,2022-08-31,70,7,35,1,20230102,30,3000,30,3000,7,49
2023,200194,400194,20230,300194,500194,41,58,7,85,83,370,5,20210302,20230720,1,37,28,26,29,2022-06-22,70,7,8,4,20230212,27,4100,41,4100,4,34
2011,200195,400195,20110,300195,500195,23,51,9,9,79,727,1,20220925,20230913,2,24,21,1,11,2022-03-03,90,9,20,4,20220108,23,2300,41,4100,5,40
2012,200196,400196,20120,300196,500196,12,98,4,87,81,857,6,20220525,20220707,2,9,18,0,1,2022-10-19,90,9,20,3,20230624,47,1200,30,3000,8,100
2018,200197,400197,20180,300197,500197,47,46,5,11,18,676,1,20221213,20230416,1,13,21,4,4,2023-10-10,70,7,28,2,20230718,46,4700,47,4700,9,83
2019,200198,400198,20190,300198,500198,45,87,10,68,68,824,5,20220420,20220217,2,58,28,1,-2,2022-05-23,100,10,42,10,20231118,37,4500,13,1300,6,96
2012,200199,400199,20120,300199,500199,44,51,9,33,68,2,3,20211204,20220329,2,85,25,38,3,2023-02-06,20,2,16,6,20230216,50,4400,12,1200,6,8
2012,200200,400200,20120,300200,500200,34,26,4,46,64,550,7,20210724,20220803,2,24,22,35,12,2022-06-06,80,8,19,9,20220925,60,3400,31,3100,2,45
